iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
33,5000,0.6248,0.3143,0.0612,0.1471,0.6427,-0.0721,1.46,62.37,0.77,127427.0,0.0,0.1598,0.0202,-0.0,-0.0201,3.2172,-0.0057,1.0
34,5000,0.6215,0.3252,0.0535,0.1601,0.6594,-0.0674,4.57,64.01,0.78,126457.0,0.0,0.1646,0.021,-0.0,-0.0214,2.8601,-0.007,1.0
35,5000,0.6289,0.3238,0.0474,0.1567,0.6528,-0.0685,4.4,61.65,0.78,125239.0,0.0,0.1629,0.021,-0.0,-0.0215,3.1384,-0.0065,0.99
36,5000,0.6307,0.3247,0.0446,0.1729,0.6677,-0.0676,2.6,56.84,0.77,127220.0,0.0,0.1675,0.0204,-0.0,-0.0212,2.8182,-0.006,0.99
37,5000,0.6397,0.3202,0.0402,0.1728,0.6804,-0.0656,5.41,57.98,0.8,122981.0,0.0,0.169,0.0199,-0.0,-0.0199,3.0143,-0.0071,0.99
38,5000,0.6514,0.3134,0.0355,0.1859,0.7021,-0.0614,4.96,60.85,0.77,127381.0,0.0,0.1747,0.02,-0.0,-0.0204,3.1681,-0.0058,0.99
39,5000,0.66,0.3057,0.0345,0.1794,0.6928,-0.0629,5.58,63.75,0.78,126342.0,0.0,0.173,0.0203,-0.0,-0.0203,2.9514,-0.008,0.99
40,5000,0.6628,0.2996,0.0379,0.1791,0.6881,-0.0613,4.4,59.92,0.78,125232.0,0.0,0.1711,0.0209,-0.0,-0.0214,3.0531,-0.0065,0.99
41,5000,0.6727,0.2882,0.0392,0.186,0.7055,-0.0597,4.27,56.35,0.78,126616.0,0.0,0.1755,0.0204,-0.0,-0.0209,3.0874,-0.0077,0.99
42,5000,0.674,0.2858,0.0402,0.1864,0.7055,-0.0598,4.91,59.56,0.78,126689.0,0.0,0.1753,0.0202,-0.0,-0.0206,2.9913,-0.0074,0.99
43,5000,0.6758,0.2867,0.0377,0.1888,0.7263,-0.0561,4.09,52.01,0.78,126500.0,0.0,0.1788,0.02,-0.0,-0.0198,3.1852,-0.0072,0.99
44,5000,0.6818,0.2807,0.0376,0.1882,0.7207,-0.0564,3.23,58.0,0.77,126985.0,0.0,0.1776,0.0204,-0.0,-0.0195,3.3106,-0.0071,0.99
45,5000,0.6871,0.2749,0.038,0.1886,0.7143,-0.0581,5.5,64.75,0.8,123411.0,0.0,0.1764,0.0202,-0.0,-0.0196,3.1847,-0.0032,0.99
46,5000,0.69,0.2737,0.0363,0.194,0.741,-0.0553,4.44,61.27,0.76,129240.0,0.0,0.1824,0.0195,-0.0,-0.0178,2.9198,-0.0077,0.99
47,5000,0.6994,0.2668,0.0338,0.1985,0.7463,-0.0513,4.18,57.52,0.75,131195.0,0.0,0.1839,0.0208,-0.0,-0.0195,3.1276,-0.0074,0.99
48,5000,0.7024,0.2623,0.0353,0.1937,0.7324,-0.0547,3.1,59.15,0.76,129008.0,0.0,0.1803,0.0202,-0.0,-0.0189,3.133,-0.0075,0.99
49,5000,0.7101,0.2552,0.0347,0.2036,0.7641,-0.0495,5.47,58.87,0.79,125066.0,0.0,0.1883,0.0201,-0.0,-0.0188,3.0995,-0.0069,0.99
