iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
732,4699,0.3486,0.3749,0.2766,0.111,0.2443,-0.0408,1.64,164.96,1.79,54971.0,0.0,0.0667,0.0475,-0.0,-0.0819,0.4946,-0.0072,1.07
733,4699,0.351,0.3625,0.2866,0.1136,0.2455,-0.0451,3.27,152.91,1.78,55189.0,0.0,0.0701,0.0442,-0.0001,-0.0766,0.4454,-0.0037,1.07
734,4699,0.3562,0.3482,0.2956,0.1159,0.261,-0.0446,2.48,150.4,1.8,54763.0,0.0,0.0708,0.0423,-0.0001,-0.0731,0.4246,-0.0082,1.06
735,4699,0.359,0.3436,0.2975,0.1185,0.2695,-0.0445,1.55,139.0,1.79,54780.0,0.0,0.0725,0.0423,-0.0001,-0.0717,0.4339,-0.0045,1.06
736,4699,0.3598,0.3458,0.2944,0.1307,0.2628,-0.0446,1.68,180.2,1.78,55177.0,0.0,0.0758,0.0449,-0.0,-0.0762,0.378,-0.0061,1.06
737,4699,0.3654,0.3385,0.2961,0.1238,0.2774,-0.0412,2.2,138.29,1.8,54741.0,0.0,0.0776,0.0439,-0.0,-0.0736,0.4578,-0.0057,1.06
738,4699,0.374,0.3303,0.2958,0.1245,0.2923,-0.0399,2.7,172.84,1.78,55309.0,0.0,0.0787,0.0438,-0.0001,-0.0715,0.4481,-0.0086,1.05
739,4699,0.3776,0.3225,0.2999,0.1232,0.2763,-0.04,2.56,156.77,1.78,55348.0,0.0,0.0763,0.0455,-0.0001,-0.0719,0.4238,-0.0066,1.05
740,4699,0.3802,0.3205,0.2993,0.1216,0.2867,-0.0483,2.55,152.47,1.78,55198.0,0.0,0.0766,0.0403,-0.0001,-0.0621,0.4022,-0.0048,1.05
741,4699,0.3872,0.3146,0.2983,0.1324,0.2994,-0.0416,2.8,152.09,1.78,55127.0,0.0,0.0847,0.0448,-0.0001,-0.0686,0.4194,-0.0062,1.05
742,4699,0.3925,0.3118,0.2957,0.129,0.3075,-0.0376,3.87,166.01,1.79,54908.0,0.0,0.0843,0.0464,-0.0001,-0.0655,0.3672,-0.0096,1.05
743,4699,0.3941,0.3106,0.2954,0.1163,0.2717,-0.044,2.35,176.25,1.78,55265.0,0.0,0.0744,0.0466,-0.0001,-0.064,0.3924,-0.0065,1.05
744,4699,0.3948,0.3084,0.2968,0.1189,0.2851,-0.0378,2.19,170.7,1.79,54806.0,0.0,0.0766,0.0495,-0.0001,-0.067,0.3952,-0.0059,1.05
745,4699,0.3988,0.302,0.2993,0.125,0.2673,-0.0392,2.28,168.83,1.78,55101.0,0.0,0.0768,0.0526,-0.0001,-0.0708,0.3861,-0.0083,1.04
746,4699,0.3998,0.2974,0.303,0.1204,0.2843,-0.0409,2.33,162.68,1.78,55232.0,0.0,0.0787,0.0485,-0.0001,-0.063,0.3972,-0.0071,1.04
747,4699,0.4006,0.2989,0.3009,0.1192,0.2737,-0.0419,3.01,169.58,1.7,57937.0,0.0,0.0754,0.0497,-0.0002,-0.0653,0.4164,-0.0055,1.04
748,4699,0.4058,0.2939,0.3007,0.1277,0.2976,-0.0367,3.05,156.16,1.8,54634.0,0.0,0.0795,0.0507,-0.0002,-0.0673,0.4656,-0.006,1.04
749,4699,0.4122,0.2914,0.2969,0.1326,0.2908,-0.0383,1.69,181.93,1.79,54933.0,0.0,0.0811,0.051,-0.0002,-0.0671,0.3931,-0.0092,1.04
750,4699,0.4143,0.2857,0.3003,0.1235,0.2919,-0.0348,2.25,173.87,1.68,58469.0,0.0,0.0781,0.0529,-0.0001,-0.0726,0.393,-0.0059,1.03
751,4699,0.4159,0.2788,0.3056,0.127,0.3027,-0.0328,4.05,164.42,1.82,54090.0,0.0,0.0816,0.0513,-0.0002,-0.0704,0.4009,-0.0061,1.03
752,4699,0.416,0.277,0.3073,0.1315,0.2968,-0.0412,3.76,159.59,1.76,55827.0,0.0,0.0814,0.0476,-0.0002,-0.0675,0.3995,-0.0076,1.03
