iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
731,3199,0.0744,0.7847,0.141,0.1075,0.0786,-0.162,-1.81,54.32,0.78,125670.0,0.0,0.0232,0.0234,-0.0005,-0.0415,0.7526,-0.0118,1.1
732,3199,0.0772,0.777,0.1458,0.1091,0.0885,-0.155,-2.09,53.6,0.76,129611.0,0.0,0.0254,0.0252,-0.0005,-0.0438,0.8068,-0.0113,1.1
733,3199,0.0778,0.7748,0.1474,0.1171,0.0882,-0.1564,-0.71,74.0,0.81,121891.0,0.0,0.0257,0.0251,-0.0007,-0.0433,0.8246,-0.0103,1.1
734,3199,0.08,0.7744,0.1456,0.1078,0.0801,-0.1609,-1.76,53.61,0.78,125522.0,0.0,0.0236,0.0238,-0.0008,-0.0398,0.8673,-0.0116,1.1
735,3199,0.0784,0.7796,0.142,0.1176,0.0746,-0.1588,-2.18,64.51,0.74,132211.0,0.0,0.0237,0.0257,-0.0007,-0.0441,0.8692,-0.0116,1.1
736,3199,0.0771,0.7745,0.1484,0.1128,0.0893,-0.1541,-2.57,54.91,0.75,131863.0,0.0,0.0257,0.0259,-0.0006,-0.0435,0.8356,-0.0129,1.1
737,3199,0.0774,0.7704,0.1522,0.1105,0.0872,-0.1553,-2.49,57.41,0.76,128677.0,0.0,0.0251,0.0247,-0.0004,-0.041,0.8218,-0.0114,1.09
738,3199,0.082,0.7645,0.1535,0.1095,0.0998,-0.1563,-1.8,55.85,0.75,131340.0,0.0,0.0283,0.0239,-0.0004,-0.0391,0.793,-0.0109,1.09
739,3199,0.086,0.7583,0.1557,0.1156,0.0942,-0.1541,-1.61,68.37,0.75,130978.0,0.0,0.0289,0.0256,-0.0008,-0.0425,0.8126,-0.0124,1.09
740,3199,0.0873,0.7534,0.1593,0.1142,0.0813,-0.1547,-2.35,60.18,0.77,127114.0,0.0,0.024,0.0261,-0.0007,-0.0432,0.7432,-0.0116,1.09
741,3199,0.0874,0.7536,0.159,0.119,0.0934,-0.1548,-2.1,69.12,0.76,129973.0,0.0,0.0269,0.0259,-0.0003,-0.0429,0.8011,-0.0109,1.09
742,3199,0.0851,0.7528,0.1621,0.1244,0.088,-0.1531,-1.76,72.76,0.82,119294.0,0.0,0.0261,0.0263,-0.0004,-0.0438,0.7907,-0.0122,1.09
743,3199,0.0872,0.7484,0.1644,0.1188,0.0927,-0.1547,-1.99,59.27,0.77,127886.0,0.0,0.0276,0.0256,-0.0006,-0.042,0.7139,-0.0122,1.08
744,3199,0.0922,0.7434,0.1644,0.122,0.0994,-0.1515,-1.47,74.34,0.74,133197.0,0.0,0.0293,0.0251,-0.0008,-0.0427,0.7421,-0.0128,1.08
745,3199,0.0919,0.7357,0.1724,0.1207,0.089,-0.1508,-2.94,73.26,0.75,131045.0,0.0,0.026,0.027,-0.0004,-0.0451,0.6773,-0.0122,1.08
746,3199,0.0906,0.742,0.1675,0.1162,0.0943,-0.1546,-1.15,68.99,0.79,124098.0,0.0,0.0274,0.0246,-0.0003,-0.0408,0.7042,-0.0126,1.08
747,3199,0.0889,0.7389,0.1725,0.1226,0.0854,-0.149,-1.91,65.83,0.76,129468.0,0.0,0.0244,0.0285,-0.0006,-0.0478,0.7481,-0.0109,1.08
748,3199,0.0896,0.7361,0.1745,0.1309,0.102,-0.1471,-0.36,82.22,0.77,127403.0,0.0,0.0308,0.0276,-0.0006,-0.0459,0.7188,-0.0128,1.08
749,3199,0.0905,0.7345,0.1752,0.1212,0.1085,-0.1483,-0.67,68.95,0.81,121138.0,0.0,0.0328,0.0261,-0.0004,-0.0423,0.7092,-0.0114,1.08
750,3199,0.0896,0.729,0.1817,0.128,0.0841,-0.149,-1.78,69.09,0.79,124065.0,0.0,0.0266,0.0279,-0.0019,-0.0459,0.7236,-0.0102,1.07
751,3199,0.0862,0.7252,0.1889,0.1239,0.0886,-0.1484,-1.36,83.78,0.76,129262.0,0.0,0.027,0.0272,-0.0007,-0.0451,0.7013,-0.011,1.07
752,3199,0.0895,0.7155,0.1954,0.1239,0.1093,-0.1457,-1.5,74.33,0.76,129636.0,0.0,0.0313,0.0269,-0.0007,-0.0448,0.7017,-0.0124,1.07
753,3199,0.0897,0.7151,0.1958,0.1311,0.0978,-0.1484,-1.2,96.06,0.76,129722.0,0.0,0.0306,0.0271,-0.0005,-0.0452,0.6987,-0.0129,1.07
754,3199,0.0902,0.7131,0.1972,0.1286,0.1172,-0.1473,-1.02,63.87,0.78,125231.0,0.0,0.0343,0.0268,-0.0004,-0.0442,0.701,-0.011,1.07
755,3199,0.0899,0.7131,0.1974,0.124,0.0908,-0.1487,-1.89,69.52,0.79,125127.0,0.0,0.0269,0.0272,-0.0005,-0.0452,0.6927,-0.0113,1.07
