iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
4731,6199,0.6256,0.1018,0.2733,0.533,0.4365,-0.0103,12.23,221.09,0.8,122308.0,0.0,0.2249,0.1038,-0.0067,-0.0676,0.5118,-0.0125,1.04
4732,6199,0.6269,0.0998,0.2743,0.4994,0.4466,-0.0121,11.36,193.96,0.78,125390.0,0.0,0.2119,0.0981,-0.006,-0.0619,0.5176,-0.0125,1.04
4733,6199,0.6269,0.0969,0.2775,0.5067,0.4376,-0.0126,12.33,209.78,0.78,125814.0,0.0,0.2149,0.0997,-0.006,-0.0619,0.5642,-0.0134,1.04
4734,6199,0.6318,0.096,0.2736,0.456,0.4737,-0.0143,11.01,173.36,0.79,125109.0,0.0,0.2023,0.0888,-0.0064,-0.0553,0.6515,-0.0125,1.04
4735,6199,0.6326,0.1005,0.2684,0.4768,0.4468,-0.015,11.2,199.75,0.78,125690.0,0.0,0.2066,0.0935,-0.0056,-0.0597,0.618,-0.012,1.04
4736,6199,0.6328,0.1012,0.2677,0.4896,0.4799,-0.0126,11.41,178.74,0.81,121925.0,0.0,0.2197,0.0934,-0.006,-0.0636,0.6115,-0.0127,1.04
4737,6199,0.6383,0.0988,0.2644,0.4626,0.4803,-0.0109,11.06,186.46,0.78,126066.0,0.0,0.2053,0.0904,-0.0058,-0.0593,0.6538,-0.0134,1.04
4738,6199,0.6423,0.1016,0.2572,0.4547,0.4365,-0.0188,9.92,161.16,0.78,125600.0,0.0,0.1965,0.0875,-0.0054,-0.0583,0.5273,-0.0123,1.04
4739,6199,0.6406,0.1033,0.2572,0.4828,0.4493,-0.012,11.34,189.49,0.78,125550.0,0.0,0.2117,0.0946,-0.006,-0.0597,0.5686,-0.0134,1.04
4740,6199,0.6376,0.103,0.2604,0.4664,0.4729,-0.0135,12.1,186.17,0.78,126687.0,0.0,0.2119,0.0889,-0.0055,-0.0582,0.5409,-0.0131,1.04
4741,6199,0.6429,0.1022,0.256,0.4902,0.464,-0.0124,11.85,175.58,0.78,126251.0,0.0,0.2194,0.0915,-0.006,-0.0667,0.5088,-0.0134,1.04
4742,6199,0.6465,0.102,0.2528,0.4362,0.4759,-0.0152,10.68,181.56,0.79,125088.0,0.0,0.202,0.0812,-0.0056,-0.0608,0.4605,-0.0126,1.04
4743,6199,0.651,0.102,0.2483,0.4716,0.4529,-0.0152,11.36,175.74,0.78,125623.0,0.0,0.2031,0.0903,-0.0057,-0.0613,0.5479,-0.0085,1.04
4744,6199,0.6518,0.1032,0.2458,0.468,0.4544,-0.0139,10.13,165.61,0.8,122569.0,0.0,0.2099,0.0868,-0.0055,-0.0639,0.4949,-0.0109,1.04
4745,6199,0.6498,0.1052,0.2457,0.4889,0.4471,-0.0119,10.41,181.07,0.79,125139.0,0.0,0.2092,0.0911,-0.0058,-0.0671,0.5051,-0.0088,1.04
4746,6199,0.6469,0.1065,0.2474,0.4681,0.456,-0.0139,11.51,176.93,0.8,123556.0,0.0,0.2087,0.087,-0.0051,-0.0626,0.4226,-0.013,1.04
4747,6199,0.6486,0.1051,0.2473,0.4781,0.4677,-0.0136,11.48,196.49,0.79,124349.0,0.0,0.2167,0.0889,-0.0053,-0.0665,0.4623,-0.0131,1.04
4748,6199,0.6473,0.1039,0.2496,0.5051,0.4304,-0.0123,11.04,204.37,0.79,123733.0,0.0,0.1994,0.0993,-0.0054,-0.0642,0.5309,-0.0135,1.04
4749,6199,0.6456,0.1014,0.2538,0.4851,0.4728,-0.0098,11.5,208.49,0.78,126145.0,0.0,0.2157,0.0916,-0.0056,-0.0649,0.4457,-0.0127,1.04
4750,6199,0.6456,0.0955,0.26,0.5113,0.435,-0.0103,12.12,198.33,0.78,125399.0,0.0,0.2127,0.1006,-0.0063,-0.066,0.4928,-0.0128,1.04
4751,6199,0.6435,0.092,0.2657,0.4845,0.4278,-0.0155,11.42,183.66,0.78,126254.0,0.0,0.2008,0.0931,-0.0057,-0.0632,0.5188,-0.0131,1.04
4752,6199,0.6373,0.0927,0.2713,0.4664,0.4438,-0.0137,10.51,180.31,0.78,125688.0,0.0,0.2014,0.0898,-0.0057,-0.0621,0.5135,-0.0123,1.04
4753,6199,0.6337,0.0954,0.2723,0.4883,0.4341,-0.0138,11.07,183.83,0.79,125141.0,0.0,0.2084,0.0928,-0.0049,-0.0625,0.4876,-0.0133,1.04
4754,6199,0.6274,0.098,0.2761,0.5045,0.4067,-0.0169,11.52,184.51,0.78,125597.0,0.0,0.2009,0.0992,-0.0059,-0.0626,0.5349,-0.0133,1.04
4755,6199,0.6304,0.0989,0.272,0.4685,0.4598,-0.0126,11.12,173.67,0.78,125421.0,0.0,0.2029,0.0877,-0.005,-0.0627,0.4883,-0.0136,1.04
4756,6199,0.6342,0.0984,0.2686,0.4752,0.4556,-0.0137,12.2,179.83,0.8,123391.0,0.0,0.2071,0.0881,-0.0051,-0.0648,0.4757,-0.0139,1.04
4757,6199,0.6359,0.0974,0.2679,0.4702,0.4755,-0.0124,12.35,199.36,0.78,125306.0,0.0,0.21,0.0897,-0.0055,-0.0613,0.5215,-0.0123,1.04
4758,6199,0.6387,0.0991,0.2632,0.4755,0.4403,-0.0166,10.92,192.66,0.79,123684.0,0.0,0.1985,0.0939,-0.0052,-0.0596,0.5573,-0.0134,1.04
4759,6199,0.6383,0.0979,0.265,0.4979,0.442,-0.0128,10.95,187.37,0.79,124552.0,0.0,0.2174,0.0961,-0.0052,-0.0612,0.5371,-0.012,1.04
4760,6199,0.6363,0.0977,0.267,0.4887,0.4453,-0.0146,12.15,173.81,0.78,126287.0,0.0,0.2101,0.0927,-0.0052,-0.0654,0.5371,-0.0083,1.04
4761,6199,0.6409,0.0975,0.2626,0.472,0.4757,-0.0115,11.31,187.36,0.77,126873.0,0.0,0.2131,0.0871,-0.0048,-0.0677,0.4525,-0.0138,1.04
4762,6199,0.641,0.0976,0.2623,0.4549,0.4788,-0.0132,10.45,191.47,0.78,126199.0,0.0,0.2086,0.0845,-0.0046,-0.0637,0.5317,-0.0135,1.04
