iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
3198,4698,0.0,0.3042,0.033,0.0202,0.0,-0.1862,-3.82,13.77,1.71,57534.0,0.0,0.0002,0.0014,-0.0006,-0.0032,7.1041,0.0021,0.9
3199,4698,0.0,0.5357,0.0655,0.0405,0.0,-0.1794,-3.14,22.24,0.75,130360.0,0.0,0.002,0.0058,-0.0008,-0.0078,2.3752,-0.0117,0.9
3200,4698,0.013,0.583,0.0818,0.093,0.1616,-0.1421,-0.55,35.59,0.78,126337.0,0.0,0.0442,0.0129,-0.0008,-0.0143,1.6059,-0.0154,0.9
3201,4698,0.0493,0.6128,0.0953,0.1228,0.2233,-0.1326,0.79,48.39,0.81,121706.0,0.0,0.0613,0.0164,-0.0011,-0.018,1.607,-0.017,0.9
3202,4698,0.07,0.6324,0.109,0.1545,0.2407,-0.1267,0.95,56.01,0.81,121958.0,0.0,0.0686,0.0229,-0.0014,-0.0245,1.3834,-0.0167,0.9
3203,4698,0.0869,0.6482,0.1191,0.173,0.2336,-0.1274,1.39,69.17,0.81,121354.0,0.0,0.0697,0.0285,-0.0014,-0.0308,1.2493,-0.0159,0.9
3204,4698,0.1064,0.6645,0.1271,0.2136,0.2697,-0.1234,2.12,83.37,0.81,121872.0,0.0,0.0888,0.0315,-0.0017,-0.036,1.2607,-0.0154,0.9
3205,4698,0.1309,0.673,0.1324,0.2391,0.3061,-0.1186,2.27,82.87,0.78,125561.0,0.0,0.0989,0.0367,-0.0024,-0.0406,1.357,-0.0167,0.9
3206,4698,0.149,0.6829,0.1362,0.2414,0.2832,-0.1253,0.68,66.61,0.78,125827.0,0.0,0.0944,0.0368,-0.0011,-0.041,1.2956,-0.0159,0.9
3207,4698,0.166,0.6867,0.1399,0.267,0.3214,-0.1233,2.78,87.81,0.77,128000.0,0.0,0.1075,0.0403,-0.0019,-0.0466,1.1929,-0.0151,0.9
3208,4698,0.1812,0.6191,0.2014,0.4089,0.1227,-0.0876,0.04,110.8,0.75,131332.0,0.0,0.0936,0.0696,-0.0024,-0.0755,1.579,-0.0156,0.9
3209,4698,0.1903,0.5661,0.2457,0.2799,0.1465,-0.1245,-0.58,71.09,0.78,125910.0,0.0,0.0758,0.0452,-0.0015,-0.0508,1.7681,-0.0124,0.9
3210,4698,0.1944,0.5673,0.24,0.2716,0.1769,-0.1259,0.58,75.66,0.83,118540.0,0.0,0.0832,0.0423,-0.0013,-0.0473,1.5801,-0.0152,0.9
3211,4698,0.1936,0.569,0.2385,0.2661,0.2202,-0.1212,1.3,90.37,0.79,125047.0,0.0,0.0874,0.0428,-0.0014,-0.0491,1.4939,-0.0114,0.9
3212,4698,0.1965,0.569,0.2354,0.2733,0.2234,-0.1192,1.79,86.0,0.78,125941.0,0.0,0.0886,0.0439,-0.0015,-0.0497,1.4892,-0.0151,0.9
3213,4698,0.1977,0.5694,0.2339,0.2578,0.2363,-0.1233,2.28,85.51,0.78,126317.0,0.0,0.0874,0.0407,-0.0017,-0.0454,1.4422,-0.0158,0.9
3214,4698,0.198,0.5752,0.2276,0.2549,0.2176,-0.1263,0.82,81.35,0.76,129744.0,0.0,0.0842,0.0407,-0.0013,-0.0456,1.3656,-0.0168,0.9
3215,4698,0.1977,0.5782,0.2249,0.2703,0.2336,-0.1187,1.87,95.07,0.75,130251.0,0.0,0.0904,0.044,-0.0013,-0.0495,1.349,-0.0154,0.9
3216,4698,0.1998,0.5783,0.2226,0.2719,0.2384,-0.1229,1.34,92.17,0.75,130400.0,0.0,0.0919,0.0439,-0.0012,-0.0502,1.3237,-0.0164,0.9
3217,4698,0.1953,0.5787,0.2265,0.2856,0.2471,-0.1185,0.16,83.68,0.77,127948.0,0.0,0.0962,0.045,-0.0016,-0.0513,1.3497,-0.0168,0.9
3218,4698,0.196,0.5748,0.2299,0.3364,0.1779,-0.1082,0.8,109.6,0.78,126055.0,0.0,0.0935,0.0543,-0.0016,-0.0616,1.4768,-0.0157,0.9
3219,4698,0.2012,0.5737,0.2258,0.3038,0.1875,-0.1163,1.22,111.1,0.77,127221.0,0.0,0.0899,0.048,-0.0014,-0.0554,1.5744,-0.0173,0.9
